tipo,sku,nombre_comercial,nombre_generico,precio,impuesto,peso,cantidad,contraindicaciones,dosis_maxima,medico_autoriza
VentaLibre,VL_451,Tramadol,Tramadol,55.18,0.19,460.95,106.0,Ninguna,,
Restringido,RE_331,Simvastatina,Simvastatina,13.03,0.19,397.1,69.0,,2 al día,"{'nombre': 'Gregory Davis', 'telefono': 1763483929, 'especialidad': 'Traumatología'}"
VentaLibre,VL_534,Tramadol,Tramadol,77.29,0.19,340.54,61.0,Ninguna,,
Restringido,RE_550,Metformina,Metformina,32.59,0.19,302.33,59.0,,2 al día,"{'nombre': 'Erica Jackson', 'telefono': 314229109, 'especialidad': 'Obstetricia'}"
VentaLibre,VL_303,Tramadol,Tramadol,80.12,0.19,389.77,58.0,Ninguna,,
Restringido,RE_879,Prednisona,Prednisona,71.38,0.19,274.19,154.0,,2 al día,"{'nombre': 'Erica Jackson', 'telefono': 1975604319, 'especialidad': 'Nefrología'}"
VentaLibre,VL_477,Amlodipino,Amlodipino,55.07,0.19,133.19,63.0,Ninguna,,
Restringido,RE_158,Ciprofloxacino,Ciprofloxacino,68.99,0.19,336.95,113.0,,2 al día,"{'nombre': 'Alexis Gordon', 'telefono': 478750175, 'especialidad': 'Otorrinolaringología'}"
Restringido,RE_683,Metformina,Metformina,51.16,0.19,467.91,69.0,,2 al día,"{'nombre': 'Gregory Davis', 'telefono': 1031595037, 'especialidad': 'Radiología'}"
Restringido,RE_399,Atorvastatina,Atorvastatina,64.55,0.19,215.42,106.0,,2 al día,"{'nombre': 'Jon Love', 'telefono': 317040235, 'especialidad': 'Obstetricia'}"
